Iteracion	Magnetizacion	Energia
65100	0.064453	-1.480469
65200	0.070312	-1.496094
65300	0.085938	-1.519531
65400	0.095703	-1.480469
65500	0.101562	-1.488281
65600	0.080078	-1.484375
65700	0.085938	-1.484375
65800	0.078125	-1.476562
65900	0.078125	-1.480469
66000	0.085938	-1.472656
66100	0.083984	-1.472656
66200	0.068359	-1.472656
66300	0.060547	-1.460938
66400	0.058594	-1.457031
66500	0.056641	-1.464844
66600	0.052734	-1.445312
66700	0.044922	-1.476562
66800	0.039062	-1.484375
66900	0.039062	-1.496094
67000	0.044922	-1.503906
67100	0.039062	-1.488281
67200	0.060547	-1.503906
67300	0.062500	-1.515625
67400	0.058594	-1.527344
67500	0.052734	-1.500000
67600	0.046875	-1.503906
67700	0.060547	-1.535156
67800	0.064453	-1.558594
67900	0.080078	-1.593750
68000	0.083984	-1.609375
68100	0.082031	-1.617188
68200	0.085938	-1.605469
68300	0.089844	-1.578125
68400	0.085938	-1.562500
68500	0.083984	-1.546875
68600	0.085938	-1.550781
68700	0.083984	-1.546875
68800	0.082031	-1.550781
68900	0.085938	-1.519531
69000	0.095703	-1.500000
69100	0.095703	-1.523438
69200	0.095703	-1.531250
69300	0.085938	-1.554688
69400	0.083984	-1.519531
69500	0.078125	-1.515625
69600	0.076172	-1.492188
69700	0.064453	-1.480469
69800	0.066406	-1.484375
69900	0.066406	-1.503906
70000	0.064453	-1.515625
70100	0.066406	-1.558594
70200	0.064453	-1.546875
70300	0.056641	-1.550781
70400	0.050781	-1.546875
70500	0.042969	-1.527344
70600	0.037109	-1.531250
70700	0.031250	-1.546875
70800	0.025391	-1.546875
70900	0.033203	-1.542969
71000	0.035156	-1.542969
71100	0.037109	-1.535156
71200	0.041016	-1.515625
71300	0.033203	-1.480469
71400	0.033203	-1.484375
71500	0.031250	-1.480469
71600	0.031250	-1.500000
71700	0.031250	-1.503906
71800	0.023438	-1.503906
71900	0.013672	-1.484375
72000	0.007812	-1.488281
72100	0.013672	-1.492188
72200	0.015625	-1.460938
72300	0.031250	-1.460938
72400	0.023438	-1.464844
72500	0.019531	-1.460938
72600	0.021484	-1.480469
72700	0.027344	-1.464844
72800	0.029297	-1.519531
72900	0.025391	-1.511719
73000	0.027344	-1.488281
73100	0.027344	-1.496094
73200	0.039062	-1.519531
73300	0.039062	-1.519531
73400	0.039062	-1.535156
73500	0.044922	-1.519531
73600	0.039062	-1.515625
73700	0.033203	-1.488281
73800	0.035156	-1.496094
73900	0.025391	-1.515625
74000	0.025391	-1.511719
74100	0.021484	-1.527344
74200	0.025391	-1.523438
74300	0.025391	-1.542969
74400	0.023438	-1.546875
74500	0.013672	-1.546875
74600	0.029297	-1.562500
74700	0.023438	-1.562500
74800	0.025391	-1.550781
74900	0.019531	-1.550781
75000	0.015625	-1.542969
75100	0.007812	-1.550781
75200	-0.003906	-1.554688
75300	-0.009766	-1.523438
75400	-0.015625	-1.539062
75500	-0.033203	-1.527344
75600	-0.035156	-1.539062
75700	-0.035156	-1.539062
75800	-0.019531	-1.542969
75900	-0.011719	-1.542969
76000	-0.015625	-1.546875
76100	-0.013672	-1.542969
76200	-0.009766	-1.531250
76300	-0.015625	-1.527344
76400	-0.019531	-1.527344
76500	-0.031250	-1.519531
76600	-0.029297	-1.523438
76700	-0.027344	-1.527344
76800	-0.027344	-1.550781
76900	-0.031250	-1.546875
77000	-0.033203	-1.554688
77100	-0.035156	-1.523438
77200	-0.037109	-1.527344
77300	-0.039062	-1.546875
77400	-0.033203	-1.535156
77500	-0.033203	-1.523438
77600	-0.025391	-1.527344
77700	-0.017578	-1.500000
77800	-0.015625	-1.476562
77900	-0.005859	-1.492188
78000	-0.005859	-1.496094
78100	-0.005859	-1.515625
78200	0.015625	-1.531250
78300	0.013672	-1.519531
78400	0.007812	-1.539062
78500	0.017578	-1.558594
78600	0.011719	-1.546875
78700	0.013672	-1.550781
78800	0.005859	-1.562500
78900	0.009766	-1.570312
79000	0.019531	-1.570312
79100	0.025391	-1.546875
79200	0.031250	-1.550781
79300	0.029297	-1.535156
79400	0.033203	-1.531250
79500	0.042969	-1.519531
79600	0.054688	-1.535156
79700	0.060547	-1.511719
79800	0.064453	-1.511719
79900	0.058594	-1.527344
80000	0.054688	-1.523438
80100	0.064453	-1.550781
80200	0.064453	-1.531250
80300	0.062500	-1.554688
80400	0.070312	-1.535156
80500	0.068359	-1.527344
80600	0.062500	-1.519531
80700	0.064453	-1.496094
80800	0.060547	-1.503906
80900	0.058594	-1.519531
81000	0.052734	-1.507812
81100	0.056641	-1.515625
81200	0.062500	-1.539062
81300	0.058594	-1.531250
81400	0.048828	-1.539062
81500	0.042969	-1.527344
81600	0.044922	-1.570312
81700	0.054688	-1.589844
81800	0.062500	-1.578125
81900	0.062500	-1.574219
82000	0.064453	-1.570312
82100	0.060547	-1.597656
82200	0.060547	-1.585938
82300	0.058594	-1.589844
82400	0.068359	-1.597656
82500	0.062500	-1.593750
82600	0.058594	-1.578125
82700	0.058594	-1.578125
82800	0.046875	-1.558594
82900	0.050781	-1.562500
83000	0.058594	-1.562500
83100	0.066406	-1.558594
83200	0.066406	-1.585938
83300	0.062500	-1.578125
83400	0.056641	-1.582031
83500	0.050781	-1.597656
83600	0.044922	-1.597656
83700	0.031250	-1.605469
83800	0.029297	-1.593750
83900	0.029297	-1.597656
84000	0.023438	-1.601562
84100	0.031250	-1.605469
84200	0.033203	-1.593750
84300	0.029297	-1.601562
84400	0.033203	-1.613281
84500	0.037109	-1.605469
84600	0.035156	-1.593750
84700	0.021484	-1.617188
84800	0.013672	-1.601562
84900	0.005859	-1.597656
85000	0.003906	-1.578125
85100	0.003906	-1.582031
85200	0.003906	-1.574219
85300	0.001953	-1.589844
85400	0.003906	-1.574219
85500	0.009766	-1.574219
85600	0.001953	-1.570312
85700	0.000000	-1.578125
85800	-0.005859	-1.566406
85900	-0.007812	-1.542969
86000	-0.007812	-1.535156
86100	0.007812	-1.539062
86200	0.007812	-1.519531
86300	0.013672	-1.539062
86400	0.023438	-1.531250
86500	0.019531	-1.511719
86600	0.007812	-1.515625
86700	0.011719	-1.472656
86800	0.007812	-1.476562
86900	-0.005859	-1.464844
87000	0.000000	-1.484375
87100	-0.009766	-1.468750
87200	-0.015625	-1.464844
87300	-0.011719	-1.457031
87400	-0.007812	-1.468750
87500	0.003906	-1.468750
87600	-0.005859	-1.460938
87700	0.001953	-1.472656
87800	0.003906	-1.468750
87900	0.013672	-1.457031
88000	0.025391	-1.480469
88100	0.031250	-1.523438
88200	0.027344	-1.503906
88300	0.025391	-1.515625
88400	0.037109	-1.535156
88500	0.041016	-1.539062
88600	0.029297	-1.542969
88700	0.037109	-1.550781
88800	0.046875	-1.550781
88900	0.035156	-1.523438
89000	0.027344	-1.546875
89100	0.025391	-1.550781
89200	0.015625	-1.562500
89300	0.013672	-1.550781
89400	0.013672	-1.535156
89500	0.031250	-1.531250
89600	0.046875	-1.511719
89700	0.044922	-1.500000
89800	0.037109	-1.496094
89900	0.041016	-1.496094
90000	0.044922	-1.484375
90100	0.050781	-1.492188
90200	0.054688	-1.476562
90300	0.060547	-1.507812
90400	0.060547	-1.511719
90500	0.050781	-1.523438
90600	0.064453	-1.519531
90700	0.068359	-1.531250
90800	0.072266	-1.523438
90900	0.083984	-1.503906
91000	0.066406	-1.492188
91100	0.066406	-1.507812
91200	0.058594	-1.492188
91300	0.074219	-1.500000
91400	0.074219	-1.484375
91500	0.072266	-1.496094
91600	0.074219	-1.515625
91700	0.078125	-1.535156
91800	0.076172	-1.562500
91900	0.076172	-1.554688
92000	0.080078	-1.554688
92100	0.087891	-1.570312
92200	0.095703	-1.566406
92300	0.093750	-1.566406
92400	0.091797	-1.578125
92500	0.095703	-1.578125
92600	0.095703	-1.566406
92700	0.103516	-1.554688
92800	0.101562	-1.566406
92900	0.107422	-1.566406
93000	0.113281	-1.562500
93100	0.103516	-1.539062
93200	0.095703	-1.535156
93300	0.095703	-1.539062
93400	0.091797	-1.539062
93500	0.087891	-1.554688
93600	0.087891	-1.539062
93700	0.082031	-1.542969
93800	0.076172	-1.531250
93900	0.062500	-1.527344
94000	0.068359	-1.554688
94100	0.064453	-1.554688
